date	week	time	day	s	sum
1/1/14	4	0	0	0	0
1/2/14	5	1	1	1	1
1/3/14	6	1	1	2	2
1/4/14	7	0	0	2	2
1/5/14	1	0	0	2	2
1/6/14	2	1	1	3	3
1/7/14	3	1	1	4	4
1/8/14	4	1	1	5	5
1/9/14	5	1	1	6	6
1/10/14	6	1	1	7	7
1/11/14	7	0	0	7	7
1/12/14	1	0	0	7	7
1/13/14	2	1	1	8	8
1/14/14	3	1	1	9	9
1/15/14	4	1	1	10	10
1/16/14	5	1	1	11	11
1/17/14	6	1	1	12	12
1/18/14	7	0	0	12	12
1/19/14	1	0	0	12	12
1/20/14	2	1	1	13	13
1/21/14	3	1	1	14	14
1/22/14	4	1	1	15	15
1/23/14	5	1	1	16	16
1/24/14	6	1	1	17	17
1/25/14	7	0	0	17	17
1/26/14	1	1	1	18	18
1/27/14	2	1	1	19	19
1/28/14	3	1	1	20	20
1/29/14	4	1	1	21	21
1/30/14	5	1	1	22	22
1/31/14	6	0	0	22	22
2/1/14	7	0	0	22	22
2/2/14	1	0	0	22	22
2/3/14	2	0	0	22	22
2/4/14	3	0	0	22	22
2/5/14	4	0	0	22	22
2/6/14	5	0	0	22	22
2/7/14	6	1	1	23	23
2/8/14	7	1	1	24	24
2/9/14	1	0	0	24	24
2/10/14	2	1	1	25	25
2/11/14	3	1	1	26	26
2/12/14	4	1	1	27	27
2/13/14	5	1	1	28	28
2/14/14	6	1	1	29	29
2/15/14	7	0	0	29	29
2/16/14	1	0	0	29	29
2/17/14	2	1	1	30	30
2/18/14	3	1	1	31	31
2/19/14	4	1	1	32	32
2/20/14	5	1	1	33	33
2/21/14	6	1	1	34	34
2/22/14	7	0	0	34	34
2/23/14	1	0	0	34	34
2/24/14	2	1	1	35	35
2/25/14	3	1	1	36	36
2/26/14	4	1	1	37	37
2/27/14	5	1	1	38	38
2/28/14	6	1	1	39	39
3/1/14	7	0	0	39	39
3/2/14	1	0	0	39	39
3/3/14	2	1	1	40	40
3/4/14	3	1	1	41	41
3/5/14	4	1	1	42	42
3/6/14	5	1	1	43	43
3/7/14	6	1	1	44	44
3/8/14	7	0	0	44	44
3/9/14	1	0	0	44	44
3/10/14	2	1	1	45	45
3/11/14	3	1	1	46	46
3/12/14	4	1	1	47	47
3/13/14	5	1	1	48	48
3/14/14	6	1	1	49	49
3/15/14	7	0	0	49	49
3/16/14	1	0	0	49	49
3/17/14	2	1	1	50	50
3/18/14	3	1	1	51	51
3/19/14	4	1	1	52	52
3/20/14	5	1	1	53	53
3/21/14	6	1	1	54	54
3/22/14	7	0	0	54	54
3/23/14	1	0	0	54	54
3/24/14	2	1	1	55	55
3/25/14	3	1	1	56	56
3/26/14	4	1	1	57	57
3/27/14	5	1	1	58	58
3/28/14	6	1	1	59	59
3/29/14	7	0	0	59	59
3/30/14	1	0	0	59	59
3/31/14	2	1	1	60	60
4/1/14	3	1	1	61	61
4/2/14	4	1	1	62	62
4/3/14	5	1	1	63	63
4/4/14	6	1	1	64	64
4/5/14	7	1	1	65	65
4/6/14	1	0	0	65	65
4/7/14	2	0	0	65	65
4/8/14	3	1	1	66	66
4/9/14	4	1	1	67	67
4/10/14	5	1	1	68	68
4/11/14	6	1	1	69	69
4/12/14	7	0	0	69	69
4/13/14	1	0	0	69	69
4/14/14	2	1	1	70	70
4/15/14	3	1	1	71	71
4/16/14	4	1	1	72	72
4/17/14	5	1	1	73	73
4/18/14	6	1	1	74	74
4/19/14	7	0	0	74	74
4/20/14	1	0	0	74	74
4/21/14	2	1	1	75	75
4/22/14	3	1	1	76	76
4/23/14	4	1	1	77	77
4/24/14	5	1	1	78	78
4/25/14	6	1	1	79	79
